ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1807327243424676,346547929246195,"Birgitte Vind",2025-03-31,2025-03-31,,"Birgitte Vind","Vidste du, at 83 % af os danskere aldrig eller sjældent kommenterer på politikeres indhold på Facebook?  Det er nyt for mig. Og alligevel  er jeg ikke overrasket. 
De sociale medier kan være hårde at diskutere på. Hvordan sætter vi gang i den demokratiske samtale på de sociale medier og der hvor vi bor? Demokratiet overlever kun, hvis alle oplever, de har en stemme. 
Giv dit besyv med i kommentarfeltet - eller skriv en personlig besked. 
Tak 🙏🏻
Og jeg fjerner selvfølgelig hadske bemærkninger og blokkere “trolde” ;-)",,fb.com,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003233},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007543},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001078},{""age"":""25-34"",""gender"":""female"",""percentage"":0.023707},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025862},{""age"":""35-44"",""gender"":""female"",""percentage"":0.033405},{""age"":""35-44"",""gender"":""male"",""percentage"":0.038793},{""age"":""45-54"",""gender"":""female"",""percentage"":0.091595},{""age"":""45-54"",""gender"":""male"",""percentage"":0.081897},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003233},{""age"":""55-64"",""gender"":""female"",""percentage"":0.147629},{""age"":""55-64"",""gender"":""male"",""percentage"":0.146552},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005388},{""age"":""65+"",""gender"":""female"",""percentage"":0.200431},{""age"":""65+"",""gender"":""male"",""percentage"":0.185345},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00431}","{""region"":""Central Denmark Region"",""percentage"":0.018848},{""region"":""Region of Southern Denmark"",""percentage"":0.981152}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
1182822416730291,346547929246195,"Birgitte Vind",2025-03-23,2025-03-23,2025-03-29,"Birgitte Vind","Her er mit Hus ( Det hvide ;-)) - det er fra 1890 - og nej det er bestemt ikke fredet - men jeg elsker dets kringlekroge og gamle historie.
I aften kan du på @[100063769144111:2048:TV SYD] til gengæld møde mig og min kollega @[100057799070920:2048:Stephanie Lose] på slap line, når vi besøger Bjørn, der faktisk bor i et fredet hus fra 1750 på Fanø. 
Udover at vi i udsendelsen skal prøve at reparere et gammelt vindue, får vi også  stillet de sværeste spørgsmål: Hvor meget skal staten hjælpe de boligejere,  der bor i et af de huse, som staten gerne vil bevare pga dets historiske værdi, og hvad med forsikring? 
Kik med i aften eller smugkig i linket herunder👇 Bjørn bor i et fantastisk charmerende hus, som han passer rigtig godt på.",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 300, upper_bound: 399",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.085239},{""age"":""45-54"",""gender"":""male"",""percentage"":0.044147},{""age"":""65+"",""gender"":""male"",""percentage"":0.026762},{""age"":""65+"",""gender"":""female"",""percentage"":0.060373},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001054},{""age"":""55-64"",""gender"":""male"",""percentage"":0.028553},{""age"":""55-64"",""gender"":""female"",""percentage"":0.06975},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001686},{""age"":""45-54"",""gender"":""female"",""percentage"":0.08703},{""age"":""18-24"",""gender"":""male"",""percentage"":0.066063},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001054},{""age"":""35-44"",""gender"":""male"",""percentage"":0.068907},{""age"":""35-44"",""gender"":""female"",""percentage"":0.101254},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000843},{""age"":""25-34"",""gender"":""male"",""percentage"":0.155726},{""age"":""25-34"",""gender"":""female"",""percentage"":0.200506},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000527},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000527}","{""region"":""Central Denmark Region"",""percentage"":0.031033},{""region"":""Region of Southern Denmark"",""percentage"":0.968967}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
632672896160756,346547929246195,"Birgitte Vind",2025-03-18,2025-03-18,2025-03-23,"Birgitte Vind","Synes du også,  at toget skal stoppe i Gadbjerg? 
 
I dag fik vi fint besøg i Folketingets transportudvalg! 
Arbejdsgruppen fra Gadbjerg der knokler for at få toget igen skal  stoppe i Gadbjerg, havde sørme taget hele vejen til Christiansborg for at tale for denne indlysende og åbenlyse sag! 

 Når nu toget alligevel standser og venter på signal, hvorfor så ikke også tage passagerer med? 
Hvis vi vil have liv udenfor de store byer, skal der også være transportmuligheder. 
Og når nu skinnerne er lagt, hvorfor så ikke åbne op for togstop? 
Hvad synes du?",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.002876},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008627},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010784},{""age"":""25-34"",""gender"":""male"",""percentage"":0.011503},{""age"":""35-44"",""gender"":""female"",""percentage"":0.01941},{""age"":""35-44"",""gender"":""male"",""percentage"":0.036664},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000719},{""age"":""45-54"",""gender"":""female"",""percentage"":0.049605},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087707},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001438},{""age"":""55-64"",""gender"":""female"",""percentage"":0.099209},{""age"":""55-64"",""gender"":""male"",""percentage"":0.119339},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002157},{""age"":""65+"",""gender"":""female"",""percentage"":0.296909},{""age"":""65+"",""gender"":""male"",""percentage"":0.25018},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002876}","{""region"":""Central Denmark Region"",""percentage"":0.208902},{""region"":""Region of Southern Denmark"",""percentage"":0.791098}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
1013936967455189,346547929246195,"Birgitte Vind",2025-03-16,2025-03-16,2025-03-21,"Birgitte Vind","Vi er i USA! 
Til den årlige FN-samling  om piger og kvinders seksuelle og sundhedsmæssige rettigheder

Danmark går forrest i kampen for kvinder og pigers rettigheder. 
Og med ligestillingsminister  @[100044079143932:2048:Magnus Heunicke] i spidsen, skal den danske delegation de næste dage være i tæt dialog med vores kollegaer rundt om i verden. 
Adgang til prævention, sikker abort, adgang til uddannelse og frihed fra vold og had også digitalt, skal være  fundamentale rettigheder for  piger og kvinder.
Jeg får travlt med at skabe relationer og holde møder med kollegaer fra andre lande. 
Hvilke lande synes du, jeg skal tale med?",,,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.000976},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006345},{""age"":""25-34"",""gender"":""female"",""percentage"":0.005857},{""age"":""25-34"",""gender"":""male"",""percentage"":0.029771},{""age"":""35-44"",""gender"":""female"",""percentage"":0.01757},{""age"":""35-44"",""gender"":""male"",""percentage"":0.072718},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000976},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050268},{""age"":""45-54"",""gender"":""male"",""percentage"":0.128355},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001952},{""age"":""55-64"",""gender"":""female"",""percentage"":0.088824},{""age"":""55-64"",""gender"":""male"",""percentage"":0.184968},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002928},{""age"":""65+"",""gender"":""female"",""percentage"":0.18692},{""age"":""65+"",""gender"":""male"",""percentage"":0.218643},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002928}","{""region"":""Central Denmark Region"",""percentage"":0.341603},{""region"":""Region of Southern Denmark"",""percentage"":0.658397}",facebook,"lower_bound: 100001, upper_bound: 500000",da
1345210199855473,346547929246195,"Birgitte Vind",2025-03-15,2025-03-16,2025-03-21,"Birgitte Vind","FRED KAN IKKE TAGES FOR GIVET 🕊️

Efter en uge med intense møder i FN står én ting klart: Verden tørster efter fred.

Krige raser, konflikter truer, og milioner lever i frygt. 
Og altid når uroen raser,  rammes de mest udsatte hårdest.
Jeg har talt med politikere og organisationer fra hele verden. 
Og jeg er sikker på, at vi med sammenhold, mod og vilje kan sætte en ny dagsorden: 
En verden med frihed, ligeværd og plads til alle.
Er du enig? Del dit håb for fred i kommentarfeltet. #Fredsarbejde #FN #SammenForFreden",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.017857},{""age"":""18-24"",""gender"":""male"",""percentage"":0.017857},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000992},{""age"":""25-34"",""gender"":""female"",""percentage"":0.017857},{""age"":""25-34"",""gender"":""male"",""percentage"":0.03373},{""age"":""35-44"",""gender"":""female"",""percentage"":0.02381},{""age"":""35-44"",""gender"":""male"",""percentage"":0.039683},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051587},{""age"":""45-54"",""gender"":""male"",""percentage"":0.105159},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001984},{""age"":""55-64"",""gender"":""female"",""percentage"":0.070437},{""age"":""55-64"",""gender"":""male"",""percentage"":0.162698},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003968},{""age"":""65+"",""gender"":""female"",""percentage"":0.191468},{""age"":""65+"",""gender"":""male"",""percentage"":0.258929},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001984}","{""region"":""Central Denmark Region"",""percentage"":0.01927},{""region"":""Region of Southern Denmark"",""percentage"":0.98073}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
9332096943541065,346547929246195,"Birgitte Vind",2025-03-04,2025-03-04,2025-03-09,"Birgitte Vind","Alle har ret til VIND I HÅRET. Og her i det sydjyske er det ikke så svært😅
Tak til skønne Fanø for lærerrige timer om hvordan vi passer på de fredede huse og den unikke natur. Næste gang vi kommer, tager jeg nok en hårelastik med til @[61573378469024:2048:Lena Holm Olsen - Kandidat for Socialdemokratiet i Vejle til KV25]",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.033597},{""age"":""18-24"",""gender"":""male"",""percentage"":0.014822},{""age"":""25-34"",""gender"":""female"",""percentage"":0.036561},{""age"":""25-34"",""gender"":""male"",""percentage"":0.04249},{""age"":""35-44"",""gender"":""female"",""percentage"":0.036561},{""age"":""35-44"",""gender"":""male"",""percentage"":0.056324},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066206},{""age"":""45-54"",""gender"":""male"",""percentage"":0.130435},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001976},{""age"":""55-64"",""gender"":""female"",""percentage"":0.071146},{""age"":""55-64"",""gender"":""male"",""percentage"":0.173913},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002964},{""age"":""65+"",""gender"":""female"",""percentage"":0.13834},{""age"":""65+"",""gender"":""male"",""percentage"":0.192688},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001976}","{""region"":""Central Denmark Region"",""percentage"":0.022245},{""region"":""Region of Southern Denmark"",""percentage"":0.977755}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
1222404792632857,346547929246195,"Birgitte Vind",2025-03-02,2025-03-02,2025-03-06,"Birgitte Vind","Jaaaa - demokratiet lever - og de gamle partier har ikke tabt de unge - 
Men et levende demokrati kræver samtaler.
Demokrati er Ikke bare en kamp om få ret.
Eller at de unge bare skal rette ind.
Vi skal kunne bøje os mod hinanden👏
Så tak for en glad lørdag hvor @[100064494050337:2048:Socialdemokratiet i Vejle kommune] holdt lørdagscafe, hvor @Hornstrup-Jelling partiforening holdt Generalforsamling og hvor @[100064321524029:2048:DSU Sydjylland] sørme også holdt generalforsamling.
Demokratiet bliver ikke bedre end vi selv gør det til.  
Vi har alle et ansvar. 
Af ❤️ tak til alle der er medlem af et parti og bidrager til et levende demokrati.",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.061838},{""age"":""45-54"",""gender"":""male"",""percentage"":0.102507},{""age"":""65+"",""gender"":""male"",""percentage"":0.052925},{""age"":""65+"",""gender"":""female"",""percentage"":0.088022},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002228},{""age"":""55-64"",""gender"":""male"",""percentage"":0.083008},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061838},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0039},{""age"":""45-54"",""gender"":""female"",""percentage"":0.088579},{""age"":""18-24"",""gender"":""male"",""percentage"":0.110306},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001671},{""age"":""35-44"",""gender"":""male"",""percentage"":0.091365},{""age"":""35-44"",""gender"":""female"",""percentage"":0.067967},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001671},{""age"":""25-34"",""gender"":""male"",""percentage"":0.128691},{""age"":""25-34"",""gender"":""female"",""percentage"":0.049582},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002228},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001671}","{""region"":""Central Denmark Region"",""percentage"":0.023969},{""region"":""Region of Southern Denmark"",""percentage"":0.976031}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
1843646063057998,346547929246195,"Birgitte Vind",2025-02-23,2025-02-23,2025-02-27,"Birgitte Vind","Når det er tre måneder siden sidst 
Og tiden ikke står stille.
Samtaler om alt mellem himmel og jord 
#farfarogviggo ❤️
#farmorogotto ❤️
#ubetingetkærlighed
#weekend",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.005143},{""age"":""45-54"",""gender"":""male"",""percentage"":0.032329},{""age"":""65+"",""gender"":""male"",""percentage"":0.047759},{""age"":""65+"",""gender"":""female"",""percentage"":0.266716},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00147},{""age"":""55-64"",""gender"":""male"",""percentage"":0.055107},{""age"":""55-64"",""gender"":""female"",""percentage"":0.258633},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000735},{""age"":""45-54"",""gender"":""female"",""percentage"":0.180749},{""age"":""18-24"",""gender"":""male"",""percentage"":0.002939},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002204},{""age"":""35-44"",""gender"":""male"",""percentage"":0.010287},{""age"":""35-44"",""gender"":""female"",""percentage"":0.094783},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000735},{""age"":""25-34"",""gender"":""male"",""percentage"":0.002939},{""age"":""25-34"",""gender"":""female"",""percentage"":0.036003},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00147}","{""region"":""Central Denmark Region"",""percentage"":0.321637},{""region"":""Region of Southern Denmark"",""percentage"":0.678363}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
2109215249524960,346547929246195,"Birgitte Vind",2025-02-23,2025-02-23,2025-02-27,"Birgitte Vind","Når det er tre måneder siden sidst 
Og tiden ikke står stille.
Samtaler om alt mellem himmel og jord 
#farfarogviggo ❤️
#farmorogotto ❤️
#ubetingetkærlighed
#weekend",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003053},{""age"":""18-24"",""gender"":""male"",""percentage"":0.000763},{""age"":""25-34"",""gender"":""female"",""percentage"":0.035115},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006107},{""age"":""35-44"",""gender"":""female"",""percentage"":0.09084},{""age"":""35-44"",""gender"":""male"",""percentage"":0.014504},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00229},{""age"":""45-54"",""gender"":""female"",""percentage"":0.172519},{""age"":""45-54"",""gender"":""male"",""percentage"":0.032824},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000763},{""age"":""55-64"",""gender"":""female"",""percentage"":0.248855},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046565},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001527},{""age"":""65+"",""gender"":""female"",""percentage"":0.290076},{""age"":""65+"",""gender"":""male"",""percentage"":0.051145},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003053}","{""region"":""Central Denmark Region"",""percentage"":0.308288},{""region"":""Region of Southern Denmark"",""percentage"":0.691712}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
606857892311193,346547929246195,"Birgitte Vind",2025-02-19,2025-02-19,2025-02-28,"Birgitte Vind","Jeg vil blive rigtig glad, hvis du vil følge min side. 
Hjælp mig med at gøre hverdagen bedre.","Birgitte Vind",facebook.com,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 200, upper_bound: 299",DKK,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.002246},{""age"":""25-34"",""gender"":""female"",""percentage"":0.004493},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006365},{""age"":""35-44"",""gender"":""female"",""percentage"":0.016848},{""age"":""35-44"",""gender"":""male"",""percentage"":0.017971},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000749},{""age"":""45-54"",""gender"":""female"",""percentage"":0.053538},{""age"":""45-54"",""gender"":""male"",""percentage"":0.065893},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001872},{""age"":""55-64"",""gender"":""female"",""percentage"":0.119431},{""age"":""55-64"",""gender"":""male"",""percentage"":0.150131},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001123},{""age"":""65+"",""gender"":""female"",""percentage"":0.290528},{""age"":""65+"",""gender"":""male"",""percentage"":0.263197},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005616}","{""region"":""Central Denmark Region"",""percentage"":0.250731},{""region"":""Region of Southern Denmark"",""percentage"":0.749269}",facebook,"lower_bound: 100001, upper_bound: 500000",da
